city,state,death
New York,New York,52318
Las Vegas,Nevada,14930
Los Angeles,California,13368
Chicago,Illinois,13157
Cleveland,Ohio,13146
San Antonio,Texas,13131
Philadelphia,Pennsylvania,12477
Indianapolis,Indiana,9524
Phoenix,Arizona,9479
Memphis,Tennessee,9049
Birmingham,Alabama,8424
Baltimore,Maryland,7656
Detroit,Michigan,7477
Atlanta,Georgia,7408
Boston,Massachusetts,7072
Salt Lake City,Utah,6540
Charlotte,North Carolina,6493
Portland,Oregon,6371
Albuquerque,New Mexico,6131
Seattle,Washington,5919
